,parkCode,name,totalSites,latitude,longitude,numberOfSitesFirstComeFirstServe,numberOfSitesReservable,description,operatingHours,reservationInfo,id,reservationUrl
0,arch,Devils Garden Campground,51,38.7773329,-109.5887991,0,51,"Camp among slickrock outrcoppings at Devils Garden Campground, 18 miles from the park entrance. 

You can reserve standard campsites up to 6 months in advance for stays March 1-October 31. All sites are usually reserved months in advance. Between November 1 and February 28, sites are first-come, first-served. Facilities include drinking water, picnic tables, grills, and both pit-style and flush toilets.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-03-18', 'name': 'Spring 2020 Closure', 'endDate': '2020-07-18'}], 'description': 'Devils Garden Campground is open year-round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Devils Garden Campground'}]","You can reserve campsites for nights between March 1 and October 31. Between November 1 and February 28, all sites are first-come, first served. Phone and online reservations for both group and individual sites must be made through www.recreation.gov or by calling 1-877-444-6777.  

The earliest you can make reservations for standard sites is 10 am eastern time, six months in advance. The latest you can make reservations is four days in advance. You can reserve group sites up to 12 months in advance.

The campground has two sites for groups of 11 or more people. Juniper Basin campsite accommodates up to 55 people and is available March 1 to October 31; Canyon Wren campsite accommodates up to 35 and may be reserved year-round. No RVs or trailers are permitted in the group sites.",FE998695-1CD4-42C2-A57C-0B8B257BBE09,http://www.recreation.gov/camping/devils-garden-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=74066
1,biso,Bandy Creek Campground,149,,,149,143,"The campground offers a total of 181 campsites: 96 trailer sites which offer water and electric hook-ups, 49 sites for tent camping, and two group camping loops with 19 sites in one loop and 16 sites in the other. All campsites include picnic tables, fire rings, and access to restrooms and showers. A dump station is located near the registration kiosk. There are no sewer hook-ups at individual trailer sites. The group campsites also have their own cook shelters and campfire circles.","[{'exceptions': [], 'description': 'Campground is open year-round. Campsites are on reservation system from April 1 through October 31 each year. Sites not reserved may be obtained on a first come-first serve basis. The campground operates on the honor system from November through March.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bandy Creek Campground'}]",Campground reservations for sites within Big South Fork can now be made through National Recreation Reservation Service by calling 1-877-444-6777 or online at the National Recreation Reservation Service web site. Reservations may be made up to 240 days in advance. Group camp can be reserved up to 360 days in advance.,09BC0AFC-F118-44EA-B7E1-1FE0191CA77E,http://www.recreation.gov/camping/bandy-creek/r/campgroundDetails.do?contractCode=NRSO&parkId=70988
2,chis,Anacapa Island Campground,7,34.01421,-119.367791,0,7,"Primitive camping is available (seven sites; $15 per night per site; reservations required). Picnic table, food storage box, and pit toilet are provided. No water is available. Distance from landing to campground is one-half mile and includes a 157-stair climb. 

WARNING: Western gulls nest on Anacapa Island From April through mid-August. During this time, visitors will encounter seabird rookery conditions: guano, strong odor, constant noise, bird carcasses, and birds protecting their territory.","[{'exceptions': [], 'description': 'Anacapa Island campground is open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Anacapa Island Campground'}]","Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 is charged for camping on the islands. For six of the sites, this fee covers up to four people. For one of the sites, it covers up to six people. Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/",E7CC7363-9C34-42ED-B3F0-769BB39E9400,https://www.recreation.gov/camping/anacapa-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70984
3,chis,Santa Barbara Island Campground,10,33.4797555,-119.029083,0,10,"Primitive camping is available (seven sites; $15 per night per site; reservations required). Picnic table, food storage box, and pit toilet are provided. No water is available. Distance from landing to campground is one-quarter mile and includes a steep climb.","[{'exceptions': [], 'description': 'Santa Barbara Island campground is open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Santa Barbara Island Campground'}]","Advanced camping reservations are required for all of the park's campgrounds. There are no entrance fees to visit the park. However, a reservation fee of $15.00 per site-per night is charged for camping on the islands. For Santa Barbara Island, this fee covers up to four people.Reservations can be made by calling (877) 444-6777 or through http://www.recreation.gov/.",9AF9B28F-F268-4833-9DB5-C7657918720B,https://www.recreation.gov/camping/santa-barbara-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70982
4,crla,Mazama Village Campground,214,42.86718511,-122.165603,54,160,"Mazama Village Campground is located seven miles from the rim of Crater Lake.  The campground is mostly forested and each site has a picnic table, fire ring, and bear locker. 75% of the sites are are reservable in advance and the rest are available on a first-come, first-served basis.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2015-09-30', 'name': 'Winter Closure of Mazama Village Campground', 'endDate': '2018-05-28'}], 'description': 'Located seven miles from the rim of Crater Lake just inside the south entrance gate of Crater Lake National Park, the Mazama Village Campground has 214 tent and RV sites, accommodating tents up to 12’ x 12’ and RVs up to 50 feet in length. The campground is open from mid-June to late September/early October, weather permitting.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Mazama Village Campground'}]","Mazama Campground has 214 sites. 75% of the campsites are reservable in advance by calling 888-774-2728 or online at www.craterlakelodges.com. The rest are available on a first-come, first-served basis. Typically, there are sites available until late afternoon or early evening",ADCAAE21-0B87-4379-A710-73E70566AA92,http://www.craterlakelodges.com/lodging/reservations/
5,crla,Lost Creek Campground,16,,,16,0,Lost Creek Campground is a small campground for tents only (16 sites) on the road to Pinnacles Overlook ($10 per night). It usually opens in early July and closes in mid-October.,"[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2018-10-08', 'name': 'Winter Closure of Lost Creek', 'endDate': '2015-07-01'}], 'description': 'Lost Creek Campground is located on Pinnacles Road, about 12 miles from park headquarters. Lost Creek Campground is tent camping only and is operated by the National Park Service.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Lost Creek Campground'}]","Lost Creek Campground (16 sites) is a small campground for tents only. Registration is self-service, and reservations are not taken. The campground typically fills up, so arrive early to secure a site.  Payment can be made by check or exact cash.",71D71180-EFB3-4888-8B2C-5474107CC139,
6,dena,Igloo Creek,7,63.6117723,-149.570902,7,0,"Igloo Creek Campground is at mile 35 on the Park Road. It offers 7 sites, making it the smallest in Denali (along with Sanctuary River Campground, which also has 7 sites).

Igloo is tent-only - you will not find any RVs or other vehicles in this campground. It is accessible by camper bus. The bus stop is a short walk from the camp sites - less than 50 yards (meters).

Advance reservations are not possible at this campground. Visitors may only book a site upon arriving in the park.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2019-09-12', 'name': 'Closed in winter', 'endDate': '2019-05-19'}, {'exceptionHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'startDate': '2020-06-06', 'name': 'Available by Backcountry Permit Only', 'endDate': '2020-06-30'}], 'description': 'Check in / check out time for the campground is 11 am. You do not need to leave the park by 11 am - just be sure to have your campsite packed up by that time. Igloo is open in summer only (see exceptions, below, for when the campground will close each fall).', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Igloo Creek Campground'}]","No advance reservations are possible. Upon arriving in the park, inquire at the Riley Creek Mercantile or Wilderness Access Center as to the availability of campsites at Igloo Creek.",3B299906-24BA-44F3-A0BA-A054245F7615,
7,dena,Wonder Lake,28,63.4574408,-150.8612003,0,28,"Wonder Lake Campground is at mile 85 on the Denali Park Road. It offers 28 sites, which are all tent-only.

It is the closest campground to Denali. Though separated by nearly 26 miles, the sheer size of the mountain makes it loom impressively over Wonder Lake Campground. Cloudy skies can obscure views, and mosquitoes can be fierce, but Wonder Lake on a clear day offers views that will last a lifetime. Bear-proof food lockers are available throughout the campground.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2019-09-12', 'name': 'Closed in winter', 'endDate': '2019-06-07'}], 'description': 'Check-in / check-out time is 11 am each day, meaning you must pack up your site no later than 11 am on the day you leave the campground. Quiet hours are 10 pm—8 am. Open 24-hours a day in summer (see exceptions for when the campground will close each fall).', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Wonder Lake'}]","The National Park Service does not handle campground reservations in Denali. Please use our concessionaire, Doyon / ARAMARK Joint Venture.",D4F65C49-97B3-46B3-93DD-3B13430C2608,http://www.reservedenali.com
8,dena,Riley Creek,142,63.7316349,-148.894507,20,127,"Riley Creek is a fairly wooded campground, with some screening between sites whenever possible. Most of the campground sites are open to either tent campers or vehicles / RVs. The proximity of Highway 3 means there is occasional traffic noise, but also means campers have all the conveniences and amenities of the park entrance area, and businesses outside the park, close at hand. Trails leading from the campground connect to the Denali Visitor Center, which is the central hub of trails in the entrance area.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-04-10', 'name': 'Closed Due to COVID-19', 'endDate': '2020-05-21'}], 'description': ""Open year-round, camping is free except in summer, which runs from the Friday of Mother's Day weekend in May until mid September. Check-in / out is 11 am.\n\nSpring visitors take note: The yearly goal is turn on the dump / fill station and water spigots in Riley on May 15 each year. However, weather can delay that date. Drinking fountains and water bottle refilling stations are at the Murie Science and Learning Center (open 9:30 am—5 pm daily)."", 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Riley Creek'}]","Starting May 11 each year, summer reservations are strongly recommended.
<br><br>
In winter (mid-September through May 10 each year), reservations are not necessary. The winter season starts roughly 2 weeks and a day after the Labor Day holiday.
<br><br>
Group campsites:<br>
Independent visitors and non-profit organizations may use group campsites by simply making a reservation. For-profit businesses must apply for a <a href=""https://www.nps.gov/dena/getinvolved/commercial-use-authorizations.htm"" target=""_blank"">Commercial Use Authorization (CUA)</a> from the NPS to use a group campsite at Savage River Campground (note: only private parties and non-profit organizations may use the group site at Riley Creek Campground). For-profits may make a group site reservation while simultaneously acquiring a permit/CUA from the NPS. 
<br><br>
To make group campsite reservations, please call 800-622-7275.
<br><br>
Please note, the only first-come/first-serve sites in this campground are for tent camping.",D182E1F7-4066-45D4-AB4F-9C7E3F9E509C,http://www.reservedenali.com
9,dena,Savage River,32,63.7166265,-149.2588994,0,33,"Savage River campground is located at Mile 13 on the Denali Park Road. It sits in a spruce forest, with moderate screening between sites. On clear days, Denali can be seen from a short walk below the campground.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2019-09-17', 'name': 'Closed for winter', 'endDate': '2019-05-19'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-05-20', 'name': 'Closed Due to COVID-19', 'endDate': '2020-06-15'}], 'description': 'Check-in / check-out time each day is 11 am. Please be sure to have your campsite packed up by 11 am on the day you depart. Savage River is open in summer only (see exceptions, below, for when the campground will close).', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Savage River'}]","Reservations are not required, but they are strongly recommended. 
<br><br>
<strong>Group campsites:</strong>
Independent visitors and non-profit groups may use group campsites by simply making a reservation. For-profit businesses must apply for a Commercial Use Authorization (CUA) from the NPS to use a group campsite at Savage River (note: only private parties and non-profit organizations may use the group site at Riley Creek Campground). For-profits may make a group site reservation while simultaneously acquiring a permit/CUA from the NPS. 
<br><br>
For more information about group camping permits and CUAs, please call (907) 683-5752. To make group campsite reservations, please call 800-622-7275.",13674F30-F2B4-4254-BD42-036039834FA0,http://www.reservedenali.com
